"","contair","Intrsc","ppub","islcal","cobarb","pop10","morta","pbranc","pparda","noenrg","noagpt","norrss","nosane","hphog","dnspop","ppoprl","ppopmd","alfa"
"CANGAIBA",17.83333317,555.7502549,23.40934596,0.9809109,9.018076097,136623,0.087832942,0.604100334,0.308513208,0.012509091,0.003781818,0.000581818,0.000218182,3.31,9030.478957,0.200974687,0.489840947,95.51
"CAPAO REDONDO",17.64545458,805.5729633,1.534025914,1.292571633,1.043169572,268729,0.133963956,0.452664208,0.452530244,0.013944936,0.0030358,0.00113534,0.00038256,3.31,17814.41877,0.249487819,0.414138672,93.5
"CARRAO",18.39999989,916.9540049,9.664176377,3.450953067,0.364692737,83281,0.120075407,0.754253671,0.131326473,0.000885119,0.000442559,0.00014752,0.00014752,3.06,9737.929927,0.114561818,0.584685748,97.48
"CASA VERDE",17.43999977,733.0754932,1.699869896,3.093811667,0.217258635,85624,0.08175278,0.663528917,0.20222134,0.002330313,0.000739782,0.000517847,0.000480858,3.16,10931.53188,0.134268166,0.546766316,96.95
"CIDADE ADEMAR",17.84999967,855.4203668,0.539262507,2.0174066,0.128914889,266681,0.183740124,0.487410052,0.41078292,0.029978481,0.0023869,0.005837394,0.000643103,3.3,19899.1939,0.247930305,0.417837122,93.34
"CIDADE DUTRA",18.92916687,427.7864659,4.458772745,-0.079697,12.62437811,196360,0.096761051,0.531533917,0.381309839,0.017507063,0.002062713,0.004645439,0.000502678,3.4,6384.930864,0.20653418,0.482502688,94.51
"CIDADE LIDER",16.91000004,622.2929831,3.119065166,2.2685177,2.48286091,126597,0.197477033,0.597881466,0.314217556,0.015627912,0.002183115,0.000585714,0.00031948,3.37,10914.43957,0.196351531,0.505912117,95.75
"CIDADE TIRADENTES",16.39166681,556.2427136,9.731435322,0.788334333,12.33737136,211501,0.326239592,0.434120879,0.434839552,0.014043464,0.00523543,0.003309187,0.000559763,3.48,13002.41934,0.326324629,0.324414661,92.9
"CONSOLACAO",15.625,625.4958516,10.39709654,4.813333333,1.080808081,57365,0.069728929,0.862878062,0.082262704,0.000493565,0.000303732,0.000151866,0.000493565,2.17,13768.82944,0.081223869,0.384264538,99
"CURSINO",16.98000002,613.9803725,32.52661507,2.9605518,26.74448543,109088,0.091669111,0.674290481,0.190983426,0.018957079,0.000646903,0.001125049,0.00022501,3.06,8256.643353,0.11400577,0.521695661,96.82
"ERMELINO MATARAZZO",17.97777769,589.3213713,0.495468119,1.200365167,8.021205357,113615,0.193636404,0.558262553,0.357972099,0.004936966,0.001146081,0.00026448,0.000411414,3.34,11052.45091,0.225379845,0.469538896,94.83
"FREGUESIA DO O",18.14444436,831.5079051,1.572482809,3.546362767,3.160085127,142327,0.063234664,0.689342149,0.233399144,0.005052856,0.000354586,0.000288101,0.000288101,3.15,11731.36653,0.124426415,0.579858571,96.43
"GRAJAU",18.60487803,203.7291362,6.478666783,-0.6678069,33.99239361,360787,0.210650605,0.423720921,0.481414242,0.044550517,0.026427615,0.003997128,0.000446281,3.5,3547.776033,0.299049005,0.356089277,92.44
"GUAIANASES",15.77500021,525.0475176,0.630837677,1.186668433,2.454420432,103996,0.250009616,0.479893457,0.418833417,0.020918584,0.013454676,0.008871575,0.000785675,3.4,10702.24258,0.277917826,0.372139466,93.62
"MOEMA",17.46250033,703.4574022,17.7363277,4.557500633,3.482405814,83368,0.131945111,0.906223011,0.048663756,0.000373338,0.000402056,0.000229746,8.62e-05,2.39,8339.851636,0.081695101,0.236944661,99.11
"IGUATEMI",16.00588243,379.9080744,8.918191629,0.4062978,23.48825459,127662,0.15666369,0.484263132,0.44158011,0.026085032,0.023042239,0.006998423,0.000553235,3.53,5917.49934,0.326307054,0.320912863,92.32
"IPIRANGA",17.32222239,713.4154793,2.720941878,3.2670404,0.746129542,106865,0.13100641,0.744949235,0.178954756,0.002488242,0.002187466,0.000191403,0.000191403,2.9,8826.018198,0.120586385,0.523562071,96.93
"ITAIM BIBI",17.70000022,865.9057428,4.742008934,4.047501067,0.073910023,92570,0.043210543,0.888538403,0.068013395,0.000509814,0.00038236,0.000331379,7.65e-05,2.35,8411.006779,0.085726686,0.29498864,98.78
"ITAIM PAULISTA",17.91818168,863.3891962,0.302003079,1.1506025,0.143951324,224074,0.169586833,0.445214527,0.460762962,0.005410532,0.002829646,0.001212705,0.000652995,3.48,16773.28513,0.326449366,0.325080866,93.07
"ITAQUERA",16.53076913,877.2778673,1.175604116,2.7227285,0.024727403,204871,0.126909128,0.531471023,0.36898829,0.004486168,0.002342776,0.001611697,0.000515079,3.4,12759.39187,0.227432864,0.464470885,94.96
"JABAQUARA",17.16923075,837.2025983,3.575972885,3.175456733,0.848411517,223780,0.174278309,0.604857449,0.275154169,0.018920765,0.010464481,0.000874317,0.000273224,3.05,14532.20582,0.145195671,0.494793944,95.58
"JACANA",18.69999981,784.9785094,4.109119429,2.379523033,1.63065591,94609,0.169117103,0.629982348,0.275502331,0.010593528,0.011827021,0.001306051,0.000326513,3.4,11578.73898,0.213381227,0.476397808,94.45
"JAGUARA",16.52000046,572.123501,3.433189886,3.0449999,1.524533385,24895,0.040168709,0.730467965,0.211970275,0.000504096,0.00063012,0.000126024,0.000252048,3.13,5008.09232,0.138100643,0.597679405,96.29
"JAGUARE",15.85999985,438.4004675,1.044987791,3.1271427,0.397188049,49863,0.080219802,0.617070774,0.292341014,0.028187919,0.048078096,0.000488103,0.000305064,3.04,7051.60081,0.153015137,0.48236084,93.71
"JARAGUA",16.36521737,272.7057959,28.75225059,2.5554538,33.24991584,184818,0.119036025,0.51894296,0.38775444,0.009354045,0.02034223,0.000432014,0.000112699,3.47,5915.603262,0.234094111,0.43570959,94.24
"JARDIM ANGELA",18.10937506,311.3617034,12.88134788,-0.238816633,21.45640259,295434,0.189551643,0.39135306,0.513126451,0.041003982,0.020553778,0.001461551,0.000678988,3.4,7331.965046,0.325300511,0.327177267,91.72
"JARDIM HELENA",17.73749995,820.2399944,0.083437864,1.172220067,7.050945728,135043,0.266581755,0.44725754,0.47461179,0.008628128,0.024211049,0.002510001,0.000418333,3.53,13419.87758,0.353840925,0.311771166,92.72
"JARDIM PAULISTA",16.3166666,656.4452633,2.016634459,5.030002033,0.818460253,88692,0,0.880744599,0.069138141,0.001007531,0.001334979,0.000428201,0,2.23,12915.13826,0.096481903,0.260794736,98.91
"JARDIM SAO LUIS",17.10434764,427.6906007,2.190976739,0.5379841,8.951099508,267871,0.141859328,0.478599774,0.433992481,0.003413424,0.003352902,0.003740241,0.000242087,3.24,9373.744797,0.221427099,0.447354058,93.77
"JOSE BONIFACIO",15.40769225,316.0577318,4.562089325,1.548667267,20.93130372,124122,0.185301558,0.51596816,0.375525692,0.015410235,0.024291605,0.003727004,0.000158596,3.28,7852.225339,0.217231534,0.469756252,94.67
"LAPA",18.05999985,541.0791247,1.855736911,3.792663767,0.160765957,65739,0.060846682,0.865650527,0.085170143,0.003113971,0.002117501,0.000207598,0.000207598,2.69,5850.329042,0.069274857,0.497798821,98.37
"LIBERDADE",18.23333295,627.7006807,5.396843377,4.156666267,1.123462744,69092,0.043420367,0.657413304,0.145849013,0.000805448,0.000475946,0.002343121,0.000842059,2.47,17431.30845,0.083925302,0.505675577,97.48
"LIMAO",17.76000023,886.7235074,1.295977984,2.912663967,0.081183818,80229,0.087250246,0.657143926,0.228171858,0.018744218,0.001166486,0.001528498,0.000522907,3.22,11389.83994,0.125115662,0.571146961,96.41
"MANDAQUI",16.7538461,379.4033928,31.55610216,2.5080019,42.60184089,107580,0.04647704,0.737311768,0.18576873,0.001242376,0.000790603,0.000112943,0.000197651,3.03,7402.288175,0.114597159,0.581034142,97.16
